"unit","geo","time","values"
"PER_KM2","DE712",2017,3027.1
"PER_KM2","DE713",2017,2855.1
"PER_KM2","DE714",2017,1397.7
"PER_KM2","DE715",2017,377.4
"PER_KM2","DE716",2017,448.9
"PER_KM2","DE717",2017,611.4
"PER_KM2","DE718",2017,488.6
"PER_KM2","DE719",2017,299.5
"PER_KM2","DE71A",2017,1069.4
"PER_KM2","DE71B",2017,154.7
"PER_KM2","DE71C",2017,993.9
"PER_KM2","DE71D",2017,232.7
"PER_KM2","DE71E",2017,276.9
"PER_KM2","DE72",2017,194.3
"PER_KM2","DE721",2017,312.3
"PER_KM2","DE722",2017,238.6
"PER_KM2","DE723",2017,233.1
"PER_KM2","DE724",2017,194.6
"PER_KM2","DE725",2017,73.1
"PER_KM2","DE73",2017,147.4
"PER_KM2","DE731",2017,1885.8
"PER_KM2","DE732",2017,160.5
"PER_KM2","DE733",2017,110.4
"PER_KM2","DE734",2017,183.1
"PER_KM2","DE735",2017,117.9
"PER_KM2","DE736",2017,85.9
"PER_KM2","DE737",2017,98.9
"PER_KM2","DE8",2017,71.4
"PER_KM2","DE80",2017,71.4
"PER_KM2","DE803",2017,1155.3
"PER_KM2","DE804",2017,1007.7
"PER_KM2","DE80J",2017,51
"PER_KM2","DE80K",2017,63.5
"PER_KM2","DE80L",2017,70.8
"PER_KM2","DE80M",2017,76.1
"PER_KM2","DE80N",2017,60.8
"PER_KM2","DE80O",2017,45.6
"PER_KM2","DE9",2017,167.9
"PER_KM2","DE91",2017,197.3
"PER_KM2","DE911",2017,1293.5
"PER_KM2","DE912",2017,471.1
"PER_KM2","DE913",2017,607.4
"PER_KM2","DE914",2017,111.7
"PER_KM2","DE916",2017,143.7
"PER_KM2","DE917",2017,136.3
"PER_KM2","DE918",2017,105.3
"PER_KM2","DE91A",2017,250.3
"PER_KM2","DE91B",2017,166.9
"PER_KM2","DE91C",2017,187.2
"PER_KM2","DE92",2017,238.2
"PER_KM2","DE922",2017,109.1
"PER_KM2","DE923",2017,186.5
"PER_KM2","DE925",2017,230
"PER_KM2","DE926",2017,102.9
"PER_KM2","DE927",2017,87.5
"PER_KM2","DE928",2017,234.4
"PER_KM2","DE929",2017,508.7
"PER_KM2","DE93",2017,110.8
"PER_KM2","DE931",2017,115.4
"PER_KM2","DE932",2017,97.3
"PER_KM2","DE933",2017,202.5
"PER_KM2","DE934",2017,40
"PER_KM2","DE935",2017,138.7
"PER_KM2","DE936",2017,174.8
"PER_KM2","DE937",2017,78.9
"PER_KM2","DE938",2017,74.1
"PER_KM2","DE939",2017,169.8
"PER_KM2","DE93A",2017,63.5
"PER_KM2","DE93B",2017,173.7
"PER_KM2","DE94",2017,168.6
"PER_KM2","DE941",2017,1246.5
"PER_KM2","DE942",2017,463.7
"PER_KM2","DE943",2017,1631.3
"PER_KM2","DE944",2017,1368.5
"PER_KM2","DE945",2017,733.3
"PER_KM2","DE946",2017,169.9
"PER_KM2","DE947",2017,148.6
"PER_KM2","DE948",2017,118
"PER_KM2","DE949",2017,112.3
"PER_KM2","DE94A",2017,162.5
"PER_KM2","DE94B",2017,138.4
"PER_KM2","DE94C",2017,158
"PER_KM2","DE94D",2017,122
"PER_KM2","DE94E",2017,167.8
"PER_KM2","DE94F",2017,172.1
"PER_KM2","DE94G",2017,110.6
"PER_KM2","DE94H",2017,86.7
"PER_KM2","DEA",2017,529
"PER_KM2","DEA1",2017,1004.8
"PER_KM2","DEA11",2017,2986.7
"PER_KM2","DEA12",2017,2331.7
"PER_KM2","DEA13",2017,2817.6
"PER_KM2","DEA14",2017,1679.7
"PER_KM2","DEA15",2017,1538.6
"PER_KM2","DEA16",2017,1880.2
"PER_KM2","DEA17",2017,2745.5
"PER_KM2","DEA18",2017,1494.6
"PER_KM2","DEA19",2017,1765.1
"PER_KM2","DEA1A",2017,2101.1
"PER_KM2","DEA1B",2017,257.9
"PER_KM2","DEA1C",2017,1203.7
"PER_KM2","DEA1D",2017,792.3
"PER_KM2","DEA1E",2017,534.1
"PER_KM2","DEA1F",2017,458.9
"PER_KM2","DEA2",2017,609.7
"PER_KM2","DEA22",2017,2380.9
"PER_KM2","DEA23",2017,2778.8
"PER_KM2","DEA24",2017,2149.3
"PER_KM2","DEA26",2017,281
"PER_KM2","DEA27",2017,666.3
"PER_KM2","DEA28",2017,154.1
"PER_KM2","DEA29",2017,404
"PER_KM2","DEA2A",2017,300.1
"PER_KM2","DEA2B",2017,654.3
"PER_KM2","DEA2C",2017,523.1
"PER_KM2","DEA2D",2017,788.1
"PER_KM2","DEA3",2017,379.6
"PER_KM2","DEA31",2017,1173.9
"PER_KM2","DEA32",2017,2489.7
"PER_KM2","DEA33",2017,1035.4
"PER_KM2","DEA34",2017,260.4
"PER_KM2","DEA35",2017,197.3
"PER_KM2","DEA36",2017,819.4
"PER_KM2","DEA37",2017,248.2
"PER_KM2","DEA38",2017,210.6
"PER_KM2","DEA4",2017,316.1
"PER_KM2","DEA41",2017,1285.7
"PER_KM2","DEA42",2017,374.4
"PER_KM2","DEA43",2017,558.5
"PER_KM2","DEA44",2017,118.1
"PER_KM2","DEA45",2017,280.5
"PER_KM2","DEA46",2017,273.5
"PER_KM2","DEA47",2017,246.4
"PER_KM2","DEA5",2017,449.5
"PER_KM2","DEA51",2017,2518.8
"PER_KM2","DEA52",2017,2093.6
"PER_KM2","DEA53",2017,1182.4
"PER_KM2","DEA54",2017,793.7
"PER_KM2","DEA55",2017,3071.2
"PER_KM2","DEA56",2017,798.6
"PER_KM2","DEA57",2017,134
"PER_KM2","DEA58",2017,391.8
"PER_KM2","DEA59",2017,191.6
"PER_KM2","DEA5A",2017,245.8
"PER_KM2","DEA5B",2017,229.1
"PER_KM2","DEA5C",2017,725.4
"PER_KM2","DEB",2017,206.4
"PER_KM2","DEB1",2017,186.1
"PER_KM2","DEB11",2017,1137.2
"PER_KM2","DEB12",2017,165
"PER_KM2","DEB13",2017,200.7
"PER_KM2","DEB14",2017,182.3
"PER_KM2","DEB15",2017,104.1
"PER_KM2","DEB17",2017,264.3
"PER_KM2","DEB18",2017,293.4
"PER_KM2","DEB1A",2017,158
"PER_KM2","DEB1B",2017,203.9
"PER_KM2","DEB1C",2017,87
"PER_KM2","DEB1D",2017,107.3
"PER_KM2","DEB2",2017,107.9
"PER_KM2","DEB21",2017,965.5
"PER_KM2","DEB22",2017,96.8
"PER_KM2","DEB23",2017,60.3
"PER_KM2","DEB24",2017,66.7
"PER_KM2","DEB25",2017,135.6
"PER_KM2","DEB3",2017,301.4
"PER_KM2","DEB31",2017,1126.3
"PER_KM2","DEB32",2017,710.7
"PER_KM2","DEB33",2017,556
"PER_KM2","DEB34",2017,2234.1
"PER_KM2","DEB35",2017,2256
"PER_KM2","DEB36",2017,455.4
"PER_KM2","DEB37",2017,664.3
"PER_KM2","DEB38",2017,1335.3
"PER_KM2","DEB39",2017,788.9
"PER_KM2","DEB3A",2017,483.8
"PER_KM2","DEB3B",2017,219.8
"PER_KM2","DEB3C",2017,223.3
"PER_KM2","DEB3D",2017,116.5
"PER_KM2","DEB3E",2017,285.2
"PER_KM2","DEB3F",2017,165
"PER_KM2","DEB3G",2017,123.4
"PER_KM2","DEB3H",2017,173.1
"PER_KM2","DEB3I",2017,521.6
"PER_KM2","DEB3J",2017,354.5
"PER_KM2","DEB3K",2017,100.3
"PER_KM2","DEC",2017,388.1
"PER_KM2","DEC0",2017,388.1
"PER_KM2","DEC01",2017,802.6
"PER_KM2","DEC02",2017,187.3
"PER_KM2","DEC03",2017,534.6
"PER_KM2","DEC04",2017,428.4
"PER_KM2","DEC05",2017,343.9
"PER_KM2","DEC06",2017,186
"PER_KM2","DED",2017,224.6
"PER_KM2","DED2",2017,205.9
"PER_KM2","DED21",2017,1694.8
"PER_KM2","DED2C",2017,131.8
"PER_KM2","DED2D",2017,125
"PER_KM2","DED2E",2017,169.4
"PER_KM2","DED2F",2017,149.4
"PER_KM2","DED4",2017,222.7
"PER_KM2","DED41",2017,1115.9
"PER_KM2","DED42",2017,187.9
"PER_KM2","DED43",2017,146.4
"PER_KM2","DED44",2017,163.9
"PER_KM2","DED45",2017,338.3
"PER_KM2","DED5",2017,264.9
"PER_KM2","DED51",2017,1967.7
"PER_KM2","DED52",2017,160.7
"PER_KM2","DED53",2017,99.1
"PER_KM2","DEE",2017,110.1
"PER_KM2","DEE0",2017,110.1
"PER_KM2","DEE01",2017,343
"PER_KM2","DEE02",2017,1780.5
"PER_KM2","DEE03",2017,1241.2
"PER_KM2","DEE04",2017,37.1
"PER_KM2","DEE05",2017,114.4
"PER_KM2","DEE06",2017,58.1
"PER_KM2","DEE07",2017,73.2
"PER_KM2","DEE08",2017,129.4
"PER_KM2","DEE09",2017,103.9
"PER_KM2","DEE0A",2017,96.5
"PER_KM2","DEE0B",2017,132.5
"PER_KM2","DEE0C",2017,137.6
"PER_KM2","DEE0D",2017,47.6
"PER_KM2","DEE0E",2017,66.8
"PER_KM2","DEF",2017,187.3
"PER_KM2","DEF0",2017,187.3
"PER_KM2","DEF01",2017,1543.4
"PER_KM2","DEF02",2017,2117
"PER_KM2","DEF03",2017,1139.6
"PER_KM2","DEF04",2017,1135.8
"PER_KM2","DEF05",2017,95.5
"PER_KM2","DEF06",2017,159.8
"PER_KM2","DEF07",2017,80.5
"PER_KM2","DEF08",2017,147.6
"PER_KM2","DEF09",2017,487
"PER_KM2","DEF0A",2017,130.2
"PER_KM2","DEF0B",2017,127.4
"PER_KM2","DEF0C",2017,96.7
"PER_KM2","DEF0D",2017,205.2
"PER_KM2","DEF0E",2017,129.7
"PER_KM2","DEF0F",2017,316.9
"PER_KM2","DEG",2017,133.5
"PER_KM2","DEG0",2017,133.5
"PER_KM2","DEG01",2017,794.2
"PER_KM2","DEG02",2017,623.7
"PER_KM2","DEG03",2017,962.7
"PER_KM2","DEG04",2017,343.6
"PER_KM2","DEG05",2017,766.6
"PER_KM2","DEG06",2017,106.9
"PER_KM2","DEG07",2017,119.7
"PER_KM2","DEG09",2017,106.1
"PER_KM2","DEG0A",2017,73.5
"PER_KM2","DEG0B",2017,101.8
"PER_KM2","DEG0C",2017,145.4
"PER_KM2","DEG0D",2017,87.4
"PER_KM2","DEG0E",2017,68.5
"PER_KM2","DEG0F",2017,129.3
"PER_KM2","DEG0G",2017,102.3
"PER_KM2","DEG0H",2017,130.6
"PER_KM2","DEG0I",2017,104.8
"PER_KM2","DEG0J",2017,102.8
"PER_KM2","DEG0K",2017,72.2
"PER_KM2","DEG0L",2017,118.2
"PER_KM2","DEG0M",2017,160.7
"PER_KM2","DEG0N",2017,410.1
"PER_KM2","DEG0P",2017,95.1
"PER_KM2","DK",2017,137.3
"PER_KM2","DK0",2017,137.3
"PER_KM2","DK01",2017,745.4
"PER_KM2","DK011",2017,4424.9
"PER_KM2","DK012",2017,1649.5
"PER_KM2","DK013",2017,341.5
"PER_KM2","DK014",2017,68.4
"PER_KM2","DK02",2017,117.8
"PER_KM2","DK021",2017,312.5
"PER_KM2","DK022",2017,93.3
"PER_KM2","DK03",2017,101.7
"PER_KM2","DK031",2017,145.1
"PER_KM2","DK032",2017,84.4
"PER_KM2","DK04",2017,102.5
"PER_KM2","DK041",2017,61.3
"PER_KM2","DK042",2017,152.8
"PER_KM2","DK05",2017,76.2
"PER_KM2","DK050",2017,76.2
"PER_KM2","EE",2017,30.3
"PER_KM2","EE0",2017,30.3
"PER_KM2","EE00",2017,30.3
"PER_KM2","EE001",2017,135.6
"PER_KM2","EE004",2017,13.4
"PER_KM2","EE006",2017,13.6
"PER_KM2","EE007",2017,41.9
"PER_KM2","EE008",2017,20.4
"PER_KM2","EFTA",2017,31.4
"PER_KM2","EL",2017,82.2
"PER_KM2","EL3",2017,989.2
"PER_KM2","EL30",2017,989.2
"PER_KM2","EL301",2017,4202.2
"PER_KM2","EL302",2017,7226.9
"PER_KM2","EL303",2017,10596.3
"PER_KM2","EL304",2017,7674.2
"PER_KM2","EL305",2017,372.5
"PER_KM2","EL306",2017,178.6
"PER_KM2","EL307",2017,541.7
"PER_KM2","EL4",2017,67.7
"PER_KM2","EL41",2017,54.3
